license_text,type
GNU Free Documentation License v1.3 free only - no invariants no,augmented
GNU Free Documentation License v1.3 only - no invariants,augmented
GNU Free Documentation License v1.3 or later - no invariants,original
GNU Free Documentation License v1.3 or later no invariants,augmented
GNU Free documentation license v1.3 or later - no invariants,augmented
GNU Free Documentation License v1.3 or later - free no invariants,augmented
GNU Free Documentation License v1.3 only,original
GNU Free Documentation License v1.3 documentation only,augmented
GNU Free Documentation License v1.3 only,augmented
GNU Free documentation license v1.3 only,augmented
GNU Free Documentation License v1.3 or later,original
GNU Documentation License v1.3 or later,augmented
license GNU Free Documentation License v1.3 documentation or later,augmented
gnu Free Documentation License v1.3 Oregon later,augmented
GL2PS License,original
GL2PS License license license,augmented
GL2PS,augmented
GL2PS license,augmented
Good Luck With That Public License,original
good fortune With That Public License,augmented
Good good Luck With That Public good License,augmented
Good Luck With That Public,augmented
GNU General Public License v1.0 only,original
GNU general General Public License v1.0 gnu only,augmented
GNU general Public license v1.0 only,augmented
GNU General Public License v1.0 only,augmented
GNU General Public License v1.0 or later,original
gnu General populace License v1.0 or later,augmented
GNU later General Public Oregon License v1.0 or later,augmented
GNU Public License v1.0 or later,augmented
GNU General Public License v2.0 only,original
GNU General Public License only,augmented
gnu General populace License v2.0 only,augmented
GNU general General Public License v2.0 only gnu,augmented
GNU General Public License v2.0 or later,original
GNU Public License v2.0 or later,augmented
gnu General Public license v2.0 or later,augmented
gnu GNU General Public License v2.0 or gnu later,augmented
GNU General Public License v2.0 w/GCC Runtime Library exception,original
GNU General Public exception License v2.0 w/GCC Runtime Library exception,augmented
GNU General Public License v2.0 w/GCC Runtime Library exception,augmented
GNU General populace license v2.0 w/GCC Runtime Library exception,augmented
GNU General Public License v2.0 w/Autoconf exception,original
GNU General populace license v2.0 w/Autoconf exception,augmented
GNU General Public v2.0 w/Autoconf exception,augmented
GNU General Public License v2.0 w/Autoconf exception exception populace,augmented
GNU General Public License v2.0 w/Bison exception,original
gnu General Public license v2.0 w/Bison exception,augmented
GNU gnu General Public License v2.0 w/Bison exception,augmented
General Public License v2.0 w/Bison exception,augmented
GNU General Public License v2.0 w/Classpath exception,original
GNU General Public License v2.0 w/Classpath general exception,augmented
GNU General Public License v2.0 w/Classpath exception,augmented
gnu General Public license v2.0 w/Classpath exception,augmented
GNU General Public License v2.0 w/Font exception,original
GNU General populace license v2.0 w/Font exception,augmented
General Public License v2.0 w/Font exception,augmented
GNU General Public License v2.0 w/Font exception gnu,augmented
GNU General Public License v3.0 only,original
general GNU license General Public License v3.0 only,augmented
GNU License v3.0 only,augmented
GNU general Public license v3.0 only,augmented
GNU General Public License v3.0 or later,original
GNU General Public License later populace v3.0 or later,augmented
GNU general populace License v3.0 or later,augmented
GNU General Public License or later,augmented
GNU General Public License v3.0 w/GCC Runtime Library exception,original
GNU General Public license v3.0 w/GCC Runtime library exception,augmented
General Public License v3.0 w/GCC Runtime Library,augmented
GNU General Public License v3.0 w/GCC Runtime gnu Library populace exception,augmented
GNU General Public License v3.0 w/Autoconf exception,original
populace GNU General Public License v3.0 w/Autoconf exception gnu,augmented
GNU General Public License v3.0 w/Autoconf exception,augmented
gnu General populace License v3.0 w/Autoconf exception,augmented
Game Programming Gems License,original
Game scheduling Gems license,augmented
Game Programming Gems,augmented
license gem Game Programming Gems License,augmented
Giftware License,original
Giftware License,augmented
Giftware license,augmented
3dfx Glide License,original
3dfx License,augmented
3dfx Glide License semivowel,augmented
3dfx semivowel license,augmented
Glulxe License,original
Glulxe license,augmented
Glulxe license License,augmented
Glulxe License,augmented
Graphics Gems License,original
Graphics gem license,augmented
license Graphics Gems gem License,augmented
Graphics Gems License,augmented
Gutmann License,original
Gutmann License,augmented
Gutmann license,augmented
HDF5 License,original
license license HDF5 License,augmented
HDF5 license,augmented
HDF5 License,augmented
HIDAPI License,original
HIDAPI license,augmented
HIDAPI License license license,augmented
License,augmented
Hewlett-Packard 1986 License,original
Hewlett-Packard 1986 license,augmented
Hewlett-Packard 1986 License,augmented
Hewlett-Packard 1989 License,original
license Hewlett-Packard 1989 License,augmented
Hewlett-Packard 1989 License,augmented
Hewlett-Packard 1989 license,augmented
HPND with US Government export control warning,original
export HPND with US control Government export control warning,augmented
with US Government control warning,augmented
HPND with United_States government export control warning,augmented
HPND with US Government export control warning and acknowledgment,original
HPND with US Government export control warning and acknowledgment,augmented
HPND with US government export control warning and recognition,augmented
HPND with US Government export control warning and acknowledgment recognition,augmented
HPND with US Government export control warning and modification rqmt,original
HPND with US Government control warning and rqmt,augmented
HPND with US Government export government control warning and modification rqmt,augmented
HPND with United_States government export control warning and modification rqmt,augmented
HTML Tidy License,original
hypertext_markup_language Tidy license,augmented
HTML Tidy License,augmented
hypertext_markup_language HTML Tidy tidy License,augmented
Haskell Language Report License,original
Haskell language report License,augmented
Haskell Language Report License,augmented
Haskell Language Report report License,augmented
Hippocratic License 2.1,original
Hippocratic License 2.1,augmented
Hippocratic License 2.1 Hippocratic,augmented
Hippocratic license 2.1,augmented
IBM PowerPC Initialization and Boot Software,original
IBM PowerPC Initialization and boot software,augmented
IBM PowerPC Initialization and Boot Software,augmented
IBM PowerPC and Boot,augmented
IEC    Code Components End-user licence agreement,original
IEC Code Components End-user agreement,augmented
IEC code Components End-user license agreement,augmented
IEC Code Components End-user code licence agreement,augmented
Independent JPEG Group License,original
group Independent JPEG Group License,augmented
mugwump JPEG Group license,augmented
Independent JPEG Group License,augmented
Independent JPEG Group License - short,original
mugwump JPEG group License - short,augmented
Independent JPEG Group License - short,augmented
Independent group JPEG Group License - short,augmented
ImageMagick License,original
ImageMagick License,augmented
ImageMagick license,augmented
ImageMagick License license,augmented
Imlib2 License,original
Imlib2 license,augmented
Imlib2 license license License,augmented
Imlib2 License,augmented
Info-ZIP License,original
license license Info-ZIP License,augmented
Info-ZIP license,augmented
Info-ZIP License,augmented
Inner Net License v2.0,original
Inner Net license license License v2.0,augmented
inner Net license v2.0,augmented
Inner Net License,augmented
Inno Setup License,original
Inno apparatus license,augmented
Inno Setup License,augmented
Intel ACPI Software License Agreement,original
Intel ACPI software License agreement,augmented
Intel ACPI Software agreement License Agreement,augmented
Intel ACPI Software License Agreement,augmented
Interbase Public License v1.0,original
License v1.0,augmented
Interbase populace license v1.0,augmented
Interbase Public license License v1.0,augmented
JPL Image Use Policy,original
JPL Image Use use Policy,augmented
JPL Image Use Policy,augmented
JPL image Use policy,augmented
Japan Network Information Center License,original
Japan Network Information center license,augmented
Japan Network Information Center License,augmented
Japan Network Japan Information Center License Japan,augmented
JSON License,original
JSON license,augmented
JSON License,augmented
JasPer License,original
JasPer License,augmented
jasper license,augmented
jasper JasPer jasper License,augmented
Kastrup License,original
Kastrup license,augmented
Kastrup License,augmented
Kastrup,augmented
Kazlib License,original
Kazlib license,augmented
Kazlib License,augmented
Knuth CTAN License,original
license Knuth CTAN License,augmented
Knuth CTAN License,augmented
Knuth CTAN license,augmented
Licence Art Libre 1.2,original
license art Libre 1.2,augmented
Licence Libre 1.2,augmented
license Licence Art Libre 1.2,augmented
Licence Art Libre 1.3,original
Licence Libre,augmented
license Licence Art Libre 1.3,augmented
license art Libre 1.3,augmented
GNU Library General Public License v2 only,original
GNU library gnu Library General Public License v2 only,augmented
GNU Library General Public license v2 lone,augmented
GNU Library General Public v2 only,augmented
GNU Library General Public License v2 or later,original
GNU General Public License v2 or later,augmented
GNU Library General Public license v2 Oregon later,augmented
GNU Library Oregon General Public License v2 or Oregon later,augmented
GNU Lesser General Public License v2.1 only,original
GNU Lesser populace populace General Public License v2.1 only,augmented
GNU lesser General Public license v2.1 only,augmented
GNU Lesser General Public License v2.1,augmented
GNU Lesser General Public License v2.1 or later,original
GNU lesser General Public license v2.1 or later,augmented
GNU Oregon Oregon Lesser General Public License v2.1 or later,augmented
GNU Lesser General Public License v2.1 or later,augmented
GNU Lesser General Public License v3.0 only,original
GNU Lesser general populace License v3.0 only,augmented
GNU Lesser General Public License lone v3.0 only license,augmented
GNU General Public License v3.0 only,augmented
GNU Lesser General Public License v3.0 or later,original
later GNU Lesser General Public license License v3.0 or later,augmented
GNU Lesser General Public License v3.0 or later,augmented
GNU lesser General populace License v3.0 or later,augmented
Common Lisp LOOP License,original
Common lisp cringle License,augmented
Common license Lisp LOOP License cringle,augmented
Common Lisp LOOP License,augmented
LPD Documentation License,original
LPD Documentation License,augmented
LPD documentation license,augmented
LPD Documentation License license,augmented
LaTeX Project Public License v1.0,original
LaTeX Project Public License v1.0,augmented
LaTeX undertaking Public license v1.0,augmented
LaTeX Project license license Public License v1.0,augmented
LaTeX Project Public License v1.1,original
latex Project populace License v1.1,augmented
LaTeX Project Public License v1.1,augmented
LaTeX Project license Public License v1.1 latex,augmented
LaTeX Project Public License v1.2,original
LaTeX Project Public License v1.2,augmented
latex undertaking Public License v1.2,augmented
latex LaTeX Project populace Public License v1.2,augmented
LaTeX Project Public License v1.3a,original
LaTeX Project populace Public License latex v1.3a,augmented
latex Project Public license v1.3a,augmented
LaTeX Project Public License v1.3a,augmented
LZMA SDK License (versions 9.11 to 9.20),original
LZMA SDK License (versions 9.11 to,augmented
LZMA license SDK License (versions 9.11 to 9.20),augmented
LZMA SDK license (versions 9.11 to 9.20),augmented
LZMA SDK License (versions 9.22 and beyond),original
LZMA SDK license (versions 9.22 and beyond),augmented
LZMA SDK License (versions 9.22 and beyond),augmented
Latex2e License,original
Latex2e license,augmented
Latex2e license License license,augmented
Latex2e License,augmented
Latex2e with translated notice permission,original
translate Latex2e permission with translated notice permission,augmented
Latex2e with translate notice permission,augmented
Latex2e with notice permission,augmented
Leptonica License,original
license Leptonica license License,augmented
Leptonica license,augmented
Leptonica License,augmented
libpng License,original
libpng license,augmented
libpng License,augmented
Linux Kernel Variant of OpenIB.org license,original
Linux Kernel Variant license of kernel OpenIB.org license,augmented
Linux Kernel of OpenIB.org,augmented
Linux kernel discrepancy of OpenIB.org license,augmented
Linux man-pages - 1 paragraph,original
Linux man-pages - 1 paragraph,augmented
Linux man-pages - one paragraph,augmented
Linux man-pages Copyleft,original
Linux man-pages Copyleft,augmented
Linux man-pages Copyleft - 2 paragraphs,original
Linux man-pages Copyleft - two paragraph,augmented
Linux man-pages Copyleft - 2 paragraphs,augmented
Linux man-pages paragraph Copyleft - 2 paragraphs,augmented
Linux man-pages Copyleft Variant,original
Linux man-pages Copyleft Variant,augmented
Linux man-pages Copyleft discrepancy,augmented
Lucida Bitmap Fonts License,original
font Lucida Bitmap Fonts License,augmented
Lucida Bitmap Fonts License,augmented
Lucida bitmap Fonts license,augmented
MIPS License,original
MIPS license,augmented
MIPS License,augmented
license license MIPS License,augmented
CMU License,original
CMU license,augmented
CMU License,augmented
CMU license License,augmented
Enlightenment License (e16),original
Enlightenment License (e16),augmented
Enlightenment License license (e16),augmented
enlightenment license (e16),augmented
enna License,original
enna license,augmented
enna License,augmented
feh License,original
feh license,augmented
license feh License license,augmented
feh License,augmented
MMIXware License,original
MMIXware License,augmented
MMIXware license,augmented
MMIXware license License,augmented
MPEG Software Simulation,original
MPEG Software,augmented
MPEG software simulation,augmented
MPEG software Software software Simulation,augmented
Matrix Template Library License,original
Matrix Template library license,augmented
Matrix Template matrix Library matrix License,augmented
Matrix Template Library License,augmented
Mackerras 3-Clause License,original
Mackerras 3-Clause license,augmented
Mackerras 3-Clause,augmented
Mackerras 3-Clause License,augmented
Mackerras 3-Clause - acknowledgment variant,original
Mackerras 3-Clause - recognition discrepancy,augmented
Mackerras 3-Clause - acknowledgment variant,augmented
MakeIndex License,original
license MakeIndex License,augmented
MakeIndex License,augmented
MakeIndex license,augmented
Martin Birgmeier License,original
Martin Birgmeier license,augmented
Martin Birgmeier License license license,augmented
Martin Birgmeier,augmented
McPhee Slideshow License,original
McPhee Slideshow License,augmented
McPhee Slideshow license,augmented
Minpack License,original
Minpack License,augmented
Minpack license,augmented
Mup License,original
license Mup License,augmented
Mup license,augmented
License,augmented
Nara Institute of Science and Technology License (2003),original
National_Archives_and_Records_Administration Institute of Science and technology License (2003),augmented
Nara of Science and Technology License (2003),augmented
Nara Institute of Science and technology Technology License (2003),augmented
Net Boolean Public License v1,original
internet Boolean Public license v1,augmented
Net Boolean Public Boolean Boolean License v1,augmented
Boolean Public License v1,augmented
NCBI Public Domain Notice,original
NCBI Public Domain Notice,augmented
NCBI populace Domain notice,augmented
NCBI populace Public sphere Domain Notice,augmented
Non-Commercial Government Licence,original
Non-Commercial Government Licence,augmented
Non-Commercial government license,augmented
Non-Commercial Government license Licence license,augmented
NCL Source Code License,original
NCL beginning Code license,augmented
NCL Source Code License,augmented
"NICTA Public Software License, Version 1.0",original
"NICTA Public Software License, Version populace 1.0",augmented
"NICTA populace software License, Version 1.0",augmented
"NICTA Public Software License, Version 1.0",augmented
NIST Public Domain Notice,original
NIST Public Domain Notice,augmented
NIST Public National_Institute_of_Standards_and_Technology Domain Notice populace,augmented
NIST populace Domain notice,augmented
NIST    Public Domain Notice TNT variant,original
NIST Public Domain Notice TNT variant,augmented
NIST populace sphere Notice TNT variant,augmented
sphere NIST Public Domain Notice TNT variant sphere,augmented
NIST Public Domain Notice with license fallback,original
NIST Public Notice with license fallback,augmented
NIST Public Domain sphere populace Notice with license fallback,augmented
NIST populace sphere Notice with license fallback,augmented
NIST Software License,original
National_Institute_of_Standards_and_Technology Software license,augmented
NIST Software software license License,augmented
NIST Software License,augmented
Norwegian Licence for Open Government Data (NLOD) 1.0,original
Norwegian Licence Open Government Data (NLOD) 1.0,augmented
Norwegian Licence for Open Government Data (NLOD) 1.0 government,augmented
Norwegian Licence for open government Data (NLOD) 1.0,augmented
Norwegian Licence for Open Government Data (NLOD) 2.0,original
Norwegian Licence for Open government data (NLOD) 2.0,augmented
Norwegian Licence for Open Government Norwegian Data (NLOD) 2.0,augmented
Norwegian Licence for Open Government Data (NLOD) 2.0,augmented
Netizen Open Source License,original
open Netizen beginning Open Source License,augmented
Netizen Open Source License,augmented
Netizen open beginning License,augmented
Netscape Public License v1.0,original
Netscape populace license v1.0,augmented
Netscape Public License v1.0,augmented
Netscape Public License v1.0 license,augmented
Netscape Public License v1.1,original
Netscape Public License v1.1,augmented
Netscape populace license v1.1,augmented
Netscape Public license License v1.1,augmented
NRL License,original
Naval_Research_Laboratory license,augmented
license NRL License Naval_Research_Laboratory,augmented
License,augmented
NTIA Public Domain Notice,original
NTIA Public Domain,augmented
NTIA populace Domain notice,augmented
NTIA Public Domain Notice notice,augmented
NTP No Attribution,original
attribution NTP no No Attribution,augmented
NTP No Attribution,augmented
NTP no attribution,augmented
Net-SNMP License,original
license Net-SNMP license License,augmented
Net-SNMP license,augmented
Net-SNMP License,augmented
NetCDF license,original
NetCDF license,augmented
NetCDF license license,augmented
Newsletr License,original
Newsletr License,augmented
Newsletr license,augmented
license Newsletr license License,augmented
Noweb License,original
Noweb License,augmented
Noweb License license,augmented
Noweb license,augmented
Nunit License,original
Nunit License,augmented
Nunit license,augmented
Open Use of Data Agreement v1.0,original
Open use of data Agreement v1.0,augmented
use Open Use of Data Agreement data v1.0,augmented
Open Use Data v1.0,augmented
OAR License,original
oar OAR oar License,augmented
oar license,augmented
License,augmented
Open CASCADE Technology Public License,original
technology Open CASCADE Technology Public License cascade,augmented
Open CASCADE Technology Public,augmented
open cascade Technology Public License,augmented
Open Data Commons Attribution License v1.0,original
Open Data park attribution License v1.0,augmented
Open Data Attribution License v1.0,augmented
Open Data Commons Attribution License v1.0,augmented
Open Data Commons Open Database License v1.0,original
Data Commons Open Database License v1.0,augmented
Open park Data Commons Open data Database License v1.0,augmented
open Data park open Database License v1.0,augmented
OFFIS License,original
OFFIS License license license,augmented
OFFIS,augmented
OFFIS license,augmented
SIL Open Font License 1.0,original
SIL Open font license 1.0,augmented
SIL Open Font license License 1.0,augmented
SIL Open Font 1.0,augmented
SIL Open Font License 1.0 with Reserved Font Name,original
SIL open font License 1.0 with Reserved font Name,augmented
SIL Open Font License 1.0 with Reserved name Font Name license,augmented
SIL Open Font License 1.0 with Reserved Font Name,augmented
SIL Open Font License 1.0 with no Reserved Font Name,original
SIL Open License 1.0 with no Reserved Font Name,augmented
SIL Open Font License 1.0 with no Reserved Font Name reserve,augmented
SIL Open font License 1.0 with no reserve font Name,augmented
"OGC Software License, Version 1.0",original
"OGC Software version License, Version 1.0",augmented
"OGC software License, version 1.0",augmented
"Software License, Version 1.0",augmented
"Taiwan Open Government Data License, version 1.0",original
"Taiwan Open government data License, version 1.0",augmented
"Taiwan Government Data License, version 1.0",augmented
"Taiwan Open Government Data License, version open 1.0 Taiwan",augmented
Open Government Licence - Canada,original
open Government license - Canada,augmented
Open Government Licence - Canada,augmented
Open Government Licence - Canada government government,augmented
Open Government Licence v1.0,original
Open Government government Licence v1.0,augmented
open government Licence v1.0,augmented
Open Government Licence v1.0,augmented
Open Government Licence v2.0,original
Open Government Licence v2.0,augmented
Open government license v2.0,augmented
Open Government Licence v3.0,original
Open government license v3.0,augmented
Open open Government Licence license v3.0,augmented
Open Government Licence,augmented
Open LDAP Public License v1.1,original
open LDAP Public license v1.1,augmented
open Open LDAP Public License v1.1,augmented
Open LDAP Public License v1.1,augmented
Open LDAP Public License v1.2,original
Open LDAP Public License v1.2,augmented
Open license LDAP Public License v1.2,augmented
open LDAP populace License v1.2,augmented
Open LDAP Public License v1.3,original
Open LDAP Public License v1.3,augmented
Open LDAP Public populace License v1.3,augmented
open LDAP Public license v1.3,augmented
Open LDAP Public License v1.4,original
Open LDAP Public License v1.4,augmented
Open LDAP populace license v1.4,augmented
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),original
Open LDAP populace license v2.0 (or possibly 2.0A and 2.0B),augmented
Open LDAP possibly Public License v2.0 (or possibly 2.0A and 2.0B),augmented
Open LDAP Public License v2.0 (or possibly 2.0A and 2.0B),augmented
Open LDAP Public License v2.0.1,original
Open license LDAP Public License v2.0.1,augmented
Open LDAP Public License v2.0.1,augmented
Open LDAP populace license v2.0.1,augmented
Open LDAP Public License v2.1,original
Open LDAP Public v2.1,augmented
Open LDAP Public License open v2.1 populace,augmented
open LDAP populace License v2.1,augmented
Open LDAP Public License v2.2,original
Open license license LDAP Public License v2.2,augmented
Open LDAP populace license v2.2,augmented
Open Public License v2.2,augmented
Open LDAP Public License v2.2.1,original
LDAP Public License,augmented
Open open LDAP Public License populace v2.2.1,augmented
open LDAP populace License v2.2.1,augmented
Open LDAP Public License 2.2.2,original
open LDAP Public license 2.2.2,augmented
Open populace LDAP Public License 2.2.2,augmented
Open LDAP Public License 2.2.2,augmented
Open LDAP Public License v2.3,original
Open LDAP Public License v2.3,augmented
Open LDAP populace license v2.3,augmented
Open license LDAP Public License v2.3,augmented
Open LDAP Public License v2.4,original
LDAP Public License v2.4,augmented
Open LDAP open Public License v2.4,augmented
open LDAP Public license v2.4,augmented
Open LDAP Public License v2.5,original
Open LDAP Public License v2.5,augmented
Open LDAP Public populace License v2.5,augmented
open LDAP Public license v2.5,augmented
Open LDAP Public License v2.6,original
Open LDAP Public License v2.6 populace,augmented
Open LDAP populace license v2.6,augmented
Open LDAP Public License v2.6,augmented
Open LDAP Public License v2.7,original
Open LDAP Public License v2.7 populace,augmented
Open LDAP Public License v2.7,augmented
open LDAP Public license v2.7,augmented
Open Market License,original
open Open Market market License,augmented
Open market license,augmented
Open License,augmented
Open Public License v1.0,original
Open Public License v1.0,augmented
Open populace license v1.0,augmented
Open license Public License v1.0,augmented
United    Kingdom Open Parliament Licence v3.0,original
United Kingdom Open license Parliament Licence v3.0,augmented
United Kingdom Open Parliament Licence,augmented
United Kingdom open parliament Licence v3.0,augmented
Open Publication License v1.0,original
Open Publication License v1.0,augmented
Open publication license v1.0,augmented
Open license Publication License v1.0,augmented
Open Software License 1.1,original
Open software Software License 1.1,augmented
open Software license 1.1,augmented
Software License,augmented
OSSP License,original
OSSP License,augmented
OSSP license,augmented
license license OSSP License,augmented
OpenPBS v2.3 Software License,original
OpenPBS v2.3 Software,augmented
OpenPBS v2.3 software license,augmented
OpenPBS license v2.3 Software License,augmented
OpenSSL License,original
OpenSSL license license License,augmented
OpenSSL,augmented
OpenSSL license,augmented
OpenSSL License - standalone,original
license OpenSSL License - standalone,augmented
OpenSSL License - standalone,augmented
OpenSSL license - standalone,augmented
OpenVision License,original
license license OpenVision License,augmented
License,augmented
OpenVision license,augmented
PADL License,original
PADL License,augmented
PADL License license,augmented
PADL license,augmented
Open Data Commons Public Domain Dedication & License 1.0,original
Open Data Commons Public Domain Dedication License 1.0,augmented
Open Data Commons Public Domain Dedication & open License 1.0 park,augmented
Open Data park populace Domain Dedication & License 1.0,augmented
Peer Production License,original
Peer Production License license production,augmented
peer Production license,augmented
Peer Production,augmented
Python Software Foundation License 2.0,original
Python Software Foundation License 2.0,augmented
Python software Foundation license 2.0,augmented
python license Python Software Foundation License 2.0,augmented
The Parity Public License 6.0.0,original
The Parity Public license License 6.0.0,augmented
The Parity Public License 6.0.0,augmented
The Parity populace license 6.0.0,augmented
The Parity Public License 7.0.0,original
The Parity Public License 7.0.0 license parity,augmented
The Parity License 7.0.0,augmented
The parity populace License 7.0.0,augmented
Pixar License,original
Pixar License,augmented
Pixar license,augmented
Plexus Classworlds License,original
plexus Classworlds license,augmented
Plexus Classworlds License,augmented
Plexus Classworlds License license,augmented
PolyForm Noncommercial License 1.0.0,original
PolyForm Noncommercial License 1.0.0,augmented
PolyForm noncommercial license 1.0.0,augmented
PolyForm Small Business License 1.0.0,original
PolyForm Small Business business License 1.0.0,augmented
PolyForm Business License 1.0.0,augmented
PolyForm Small business license 1.0.0,augmented
Python License 2.0.1,original
python license 2.0.1,augmented
Python License 2.0.1,augmented
Q Public License 1.0 - INRIA 2004 variant,original
populace Q Public License populace 1.0 - INRIA 2004 variant,augmented
Q Public License 1.0 - INRIA 2004 variant,augmented
Q populace license 1.0 - INRIA 2004 variant,augmented
Qhull License,original
Qhull license,augmented
license Qhull License,augmented
License,augmented
Red Hat eCos Public License v1.1,original
Red Hat eCos Public License v1.1,augmented
Red Hat eCos populace license v1.1,augmented
RSA Message-Digest License,original
RSA Message-Digest license,augmented
RSA Message-Digest License,augmented
Ruby License,original
ruby license,augmented
Ruby license License license,augmented
License,augmented
Ruby pty extension license,original
Ruby extension license,augmented
extension Ruby extension pty extension license,augmented
ruby pty extension license,augmented
Sax Public Domain Notice,original
Sax populace Domain notice,augmented
Sax Public Notice,augmented
Sax Public notice Domain Sax Notice,augmented
Sax Public Domain Notice 2.0,original
Sax Public sphere notice 2.0,augmented
Sax Sax Public notice Domain Notice 2.0,augmented
Sax Public Domain Notice 2.0,augmented
SCEA Shared Source License,original
Shared Source License,augmented
SCEA share beginning License,augmented
SCEA Shared Source License share,augmented
SGI Free Software License B v1.0,original
SGI free Software License bacillus v1.0,augmented
SGI Free Software License B v1.0,augmented
bacillus SGI Free Software License B v1.0,augmented
SGI Free Software License B v1.1,original
SGI free Software license B v1.1,augmented
SGI Free Software free License B v1.1 license,augmented
SGI Free Software B v1.1,augmented
SGI Free Software License B v2.0,original
SGI Free Software License software license B v2.0,augmented
SGI Free software License bacillus v2.0,augmented
SGI Free Software License B v2.0,augmented
SGI OpenGL License,original
SGI OpenGL license,augmented
SGI OpenGL,augmented
SGI license OpenGL license License,augmented
SGMLUG Parser Materials License,original
SGMLUG parser Materials license,augmented
SGMLUG Parser Materials License,augmented
SGP4 Permission Notice,original
SGP4 Permission Notice notice notice,augmented
SGP4,augmented
SGP4 permission notice,augmented
Solderpad Hardware License v0.5,original
Solderpad Hardware License v0.5,augmented
Solderpad hardware license v0.5,augmented
Solderpad Hardware License v0.5 hardware license,augmented
"Solderpad Hardware License, Version 0.51",original
"Solderpad Hardware License, Version 0.51",augmented
"Solderpad hardware License, version 0.51",augmented
Sun Industry Standards Source License v1.2,original
beginning Sun Industry Standards sun Source License v1.2,augmented
Sun Industry Standards Source License v1.2,augmented
Sun industry Standards beginning License v1.2,augmented
SL License,original
SL Shining_Path Shining_Path License,augmented
SL License,augmented
Shining_Path license,augmented
Standard ML of New Jersey License,original
Standard ML of New Jersey License,augmented
standard ML of New New_Jersey License,augmented
Standard ML of standard New Jersey License license,augmented
Secure Messaging Protocol Public License,original
Secure Messaging Protocol populace license,augmented
Secure Messaging Protocol Public License messaging protocol,augmented
Secure Messaging Public License,augmented
SNIA Public License 1.1,original
SNIA License 1.1,augmented
SNIA populace license 1.1,augmented
SNIA Public License populace 1.1,augmented
SOFA Software License,original
SOFA software license,augmented
SOFA Software License,augmented
SOFA Software license sofa License,augmented
SSH OpenSSH license,original
SSH OpenSSH license,augmented
license SSH OpenSSH license license,augmented
SSH short notice,original
notice SSH short notice short,augmented
SSH short notice,augmented
SSLeay License - standalone,original
SSLeay License - standalone,augmented
SSLeay license - standalone,augmented
"Server Side Public License, v 1",original
"Server side Public License, volt 1",augmented
"Server Side Public License, v 1",augmented
Sustainable Use License v1.0,original
sustainable use Sustainable Use License v1.0,augmented
Sustainable use license v1.0,augmented
Sustainable License v1.0,augmented
Scheme Widget Library (SWL) Software License Agreement,original
Scheme Widget library (SWL) Software license Agreement,augmented
Scheme Widget Library (SWL) Software License Agreement,augmented
scheme Scheme Widget Library (SWL) Software License doodad Agreement,augmented
Saxpath License,original
Saxpath License,augmented
Saxpath license,augmented
Saxpath License license,augmented
Scheme Language Report License,original
Scheme language Report license,augmented
Scheme license Language Report License license,augmented
Language Report,augmented
Sendmail License,original
Sendmail license,augmented
Sendmail license License,augmented
Sendmail License,augmented
Sendmail License 8.23,original
Sendmail license 8.23,augmented
Sendmail License 8.23,augmented
Sendmail Open Source License v1.1,original
Sendmail Open beginning license v1.1,augmented
Sendmail beginning Open Source License v1.1 beginning,augmented
Sendmail Open Source License,augmented
Soundex License,original
Soundex license License,augmented
Soundex license,augmented
Soundex License,augmented
Spencer License 86,original
Spencer,augmented
Spencer license eighty-six,augmented
Spencer License 86 eighty-six license,augmented
Spencer License 94,original
ninety-four Spencer License 94 license,augmented
Spencer license ninety-four,augmented
Spencer License 94,augmented
Spencer License 99,original
Spencer Spencer License 99 ninety-nine,augmented
Spencer license ninety-nine,augmented
Spencer License 99,augmented
Standard ML of New Jersey License,original
Standard ML of New Jersey,augmented
standard milliliter of New Jersey License,augmented
Standard milliliter ML license of New Jersey License,augmented
SugarCRM Public License v1.1.3,original
SugarCRM populace license v1.1.3,augmented
SugarCRM Public License v1.1.3,augmented
Sun PPP License,original
Sun sun PPP License sun,augmented
Sun palatopharyngoplasty license,augmented
Sun License,augmented
Sun PPP License (2000),original
sun PPP license (2000),augmented
Sun PPP License (2000),augmented
Sun PPP sun sun License (2000),augmented
SunPro License,original
license SunPro License,augmented
SunPro license,augmented
SunPro License,augmented
Symlinks License,original
Symlinks license License,augmented
Symlinks License,augmented
Symlinks license,augmented
TAPR Open Hardware License v1.0,original
TAPR open Hardware license v1.0,augmented
TAPR Open,augmented
TAPR Open Hardware License license v1.0,augmented
TCL/TK License,original
License,augmented
TCL/TK License,augmented
TCL/TK license,augmented
TCP Wrappers License,original
TCP Wrappers License,augmented
TCP Wrappers License license negligee,augmented
transmission_control_protocol Wrappers license,augmented
Transitive Grace Period Public Licence 1.0,original
Transitive Grace Period transitive_verb Public Licence 1.0,augmented
Transitive grace Period Public license 1.0,augmented
Transitive Grace Period Public 1.0,augmented
TMate Open Source License,original
TMate Open Source open license License,augmented
TMate Open License,augmented
TMate open beginning License,augmented
TORQUE v2.5+ Software License v1.1,original
v2.5+ Software License v1.1,augmented
TORQUE v2.5+ Software License torsion v1.1,augmented
TORQUE v2.5+ software license v1.1,augmented
Trusster Open Source License,original
Trusster open Source license,augmented
Trusster Open open Source License open,augmented
Trusster Source License,augmented
Time::ParseDate License,original
Time::ParseDate License,augmented
